timestamp,gym_id,city,address,prediction,prediction_interval_low,prediction_interval_high,uncertainty_abs_error_p80,uncertainty_method,model,is_weekend,is_open_estimated,business_hours,is_public_holiday_ua,is_gym_closed_holiday,is_major_low_traffic_holiday,is_major_holiday_window,holiday_effect_multiplier,temperature_2m,precipitation,cloud_cover,wind_speed_10m
2026-05-28 03:40:00,gym_011,Київ,Тираспольська,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,10.4,0.0,10.0,13.4
2026-05-28 04:00:00,gym_011,Київ,Тираспольська,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,9.8,0.0,23.0,13.4
2026-05-28 04:20:00,gym_011,Київ,Тираспольська,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,9.8,0.0,23.0,13.4
2026-05-28 04:40:00,gym_011,Київ,Тираспольська,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,9.8,0.0,23.0,13.4
2026-05-28 05:00:00,gym_011,Київ,Тираспольська,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,9.3,0.0,36.0,13.4
2026-05-28 05:20:00,gym_011,Київ,Тираспольська,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,9.3,0.0,36.0,13.4
2026-05-28 05:40:00,gym_011,Київ,Тираспольська,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,9.3,0.0,36.0,13.4
2026-05-28 06:00:00,gym_011,Київ,Тираспольська,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,9.3,0.0,49.0,13.5
2026-05-28 06:20:00,gym_011,Київ,Тираспольська,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,9.3,0.0,49.0,13.5
2026-05-28 06:40:00,gym_011,Київ,Тираспольська,0.0,0.0,0.0,0.0,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,0,07:00-22:00,0,0,0,0,1.0,9.3,0.0,49.0,13.5
2026-05-28 07:00:00,gym_011,Київ,Тираспольська,12.249,2.763,21.736,9.487,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,9.9,0.0,54.0,14.8
2026-05-28 07:20:00,gym_011,Київ,Тираспольська,14.799,5.312,24.286,9.487,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,9.9,0.0,54.0,14.8
2026-05-28 07:40:00,gym_011,Київ,Тираспольська,17.697,8.211,27.184,9.487,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,9.9,0.0,54.0,14.8
2026-05-28 08:00:00,gym_011,Київ,Тираспольська,23.557,16.252,30.862,7.305,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,10.9,0.0,59.0,16.7
2026-05-28 08:20:00,gym_011,Київ,Тираспольська,26.201,18.896,33.506,7.305,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,10.9,0.0,59.0,16.7
2026-05-28 08:40:00,gym_011,Київ,Тираспольська,28.225,20.92,35.529,7.305,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,10.9,0.0,59.0,16.7
2026-05-28 09:00:00,gym_011,Київ,Тираспольська,31.041,25.584,36.499,5.458,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,11.9,0.0,64.0,18.2
2026-05-28 09:20:00,gym_011,Київ,Тираспольська,33.568,28.11,39.026,5.458,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,11.9,0.0,64.0,18.2
2026-05-28 09:40:00,gym_011,Київ,Тираспольська,35.462,30.005,40.92,5.458,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,11.9,0.0,64.0,18.2
2026-05-28 10:00:00,gym_011,Київ,Тираспольська,33.609,26.833,40.386,6.776,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,12.8,0.0,69.0,18.7
2026-05-28 10:20:00,gym_011,Київ,Тираспольська,33.209,26.432,39.985,6.776,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,12.8,0.0,69.0,18.7
2026-05-28 10:40:00,gym_011,Київ,Тираспольська,32.943,26.166,39.719,6.776,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,12.8,0.0,69.0,18.7
2026-05-28 11:00:00,gym_011,Київ,Тираспольська,32.847,27.478,38.216,5.369,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,13.6,0.0,75.0,19.2
2026-05-28 11:20:00,gym_011,Київ,Тираспольська,32.984,27.615,38.353,5.369,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,13.6,0.0,75.0,19.2
2026-05-28 11:40:00,gym_011,Київ,Тираспольська,32.959,27.589,38.328,5.369,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,13.6,0.0,75.0,19.2
2026-05-28 12:00:00,gym_011,Київ,Тираспольська,32.888,28.01,37.766,4.878,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,14.3,0.0,80.0,19.3
2026-05-28 12:20:00,gym_011,Київ,Тираспольська,32.888,28.01,37.766,4.878,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,14.3,0.0,80.0,19.3
2026-05-28 12:40:00,gym_011,Київ,Тираспольська,32.888,28.01,37.766,4.878,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,14.3,0.0,80.0,19.3
2026-05-28 13:00:00,gym_011,Київ,Тираспольська,32.666,28.143,37.188,4.523,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,14.8,0.0,88.0,20.1
2026-05-28 13:20:00,gym_011,Київ,Тираспольська,32.666,28.143,37.188,4.523,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,14.8,0.0,88.0,20.1
2026-05-28 13:40:00,gym_011,Київ,Тираспольська,32.666,28.143,37.188,4.523,historical_holdout_abs_error_p80_by_gym_hour,hist_gradient_boosting,0,1,07:00-22:00,0,0,0,0,1.0,14.8,0.0,88.0,20.1
